Game;Player;Points;Question;Answer;Props;Prize
3;20;1;В Эстонии есть проект закона, предусматривающий новый вид наказания для нарушителей скоростного режима. За превышение скорости более, чем на 40 километров в час, предлагается оставить денежный штраф. А вот за более мелкое нарушение водитель может выбрать другое наказание, которое сразу будет приводить в исполнение полицейский, остановивший нарушителя на трассе. Что это за новый вид наказания автомобилистов? ;Стоянка на определённое время;NULL;0
3;21;-1;Корней Чуковский в начале прошлого века жил по соседству с усадьбой Ильи Репина. Нередко художник посылал писателю записочки с просьбой завтра прийти в такое-то время. Тот приходил, выполнял свою нехитрую работу, а по её окончании Илья Ефимович от души благодарил Корнея Ивановича за неоценимую помощь. Что же делал Чуковский в доме Репина? ;Поддерживать интерес гостя;NULL;60000
3;22;-1;Историк Йохан Хёйзинга, рассуждая о жизни средневековых европейских городов, писал: «Сколь бы он ни был разнообразным, он никогда не терялся в беспокойной жизни и возносил всё преходящее в сферу порядка и ясности». О чём это Хёйзинга? ;Колокольный звон;NULL;220000
3;23;0;ВОПРОС БЛИЦА: Какое превращение произошло с рестораном, на стене которого нарисована картина, которую вы видите на экране? ;Из китайского он стал мексиканским;NULL;0
3;24;0;ВОПРОС БЛИЦА: Это — таблица для проверки остроты зрения, которую за полвека до Дмитрия Сивцева придумал французский учёный. Назовите имя и фамилию этого доктора медицины. ;Фердинанд Моноер;NULL;0
3;25;1;ВОПРОС БЛИЦА: Кому принадлежал набор карандашей, который вы видите на экране? ;Алексею Леонову;NULL;0
3;8;1;"Вопрос снят нашим корреспондентом.
Если вам когда-нибудь придётся пожить в Японии, и вы будете выбирать в магазине стол, например, письменный, продавец может сделать вам необычное предложение. Что же предложит вам продавец? ";Залезть под стол;NULL;0
3;26;-1;На картине советского художника Мартироса Сарьяна, написанной в 1941 году, вы видите эпизод из жизни его семьи: жена Лусик чистит мандарин, сам Мартирос сидит рядом, отражаясь в зеркале. А во что, по замыслу художника, отражаясь в зеркале, превратился мандарин? Что мы от вас скрыли? ;В письмо;NULL;105000
3;27;-1;"Внимание, созвездие!
У нас за кулисами находится то, на чём телезритель отыскал это созвездие. Что у нас за кулисами? ";Карта Сталинских высоток;Изображенисе со звёздами;90000
3;28;1;"Внимание, французские модницы!
В конце XVIII века в моде были лёгкие платья, сшитые по образцу античных хитонов. В это же время самым модным ароматом стал аромат пачули. По какой причине вошёл в моду этот аромат? ";Аромат отгонял моль;Иллюстрация и аромат пачули;150000
3;29;1;"Вы видели художественный фильм режиссёра Сесиля Девиля «Десять заповедей», который вышел в 1923 году? Внимание, чёрный ящик!
В чёрном ящике сейчас находится то, что помогло режиссёру снять эпизод, кадр из которого вы видите на экране. Что же в чёрном ящике? ";Желе;Чёрный ящик с желе;0
4;30;-1;"Внимание, Айвазовский!
Перед вами картина Ивана Айвазовского, написанная в 1873 году. Тонет корабль, команда из последних сил борется со стихией. Но есть надежда на спасение — на небе появляется радуга. Сначала художник назвал картину «Шторм», а потом всё-таки решил назвать «Радуга» и для усиления эффекта нашёл новое для себя решение. У нас за кулисами находится предмет, подобный тому, что помог Айвазовскому. Что это за решение и что у нас за кулисами? ";Рамы золотого цвета;Рамы золотого цвета;50000
4;31;1;«Это слово-словоед». Что так назвал писатель Виктор Кротов? Можете и пример привести. ;Аббревиатура;NULL;0
4;32;-1;"Вопрос снят самим телезрителем.
Я — Валерий Белянин, следователь по особо важным делам следственного управления Следственного комитета Российской Федерации в Республике Саха (Якутия). Мой коллега, бывший следователь по особо важным делам при Генеральном прокуроре СССР, Николай Вениаминович Иванов в книге своих воспоминаний привёл один забавный случай. В 70-е году руководство УВД города Мурманска добилось того, чтобы в местных газетах стали заблаговременно публиковать даты и время прибытия в порт тех или иных судов. С какой целью это было сделано? ";Оповещать жён о датах возвращения мужей;NULL;60000
4;33;-1;"Внимание, таз и солома!
Лет 50 назад деревенские дети при помощи этих предметов изготавливали одно приспособление. Что они делали с этим приспособлением, и чего не хватает, чтобы его изготовить? ";Делали ледянку из таза, соломы и воды;Таз и солома;70000
4;34;1;В 2016 году с музей «Царское село» поступила новая коллекция старинных предметов. Для демонстрации тех экспонатов ничего подходящего ни в музее, ни в продаже не нашлось, и пришлось делать специальный заказ. Что же пришлось заказывать, и в чём была проблема? ;Маленькие манекены, так как одежда очень мала;NULL;0
4;35;1;Аристотель считал, что они либо меняют наряды, либо прячутся в норы. Карл Линней утверждал, что некоторые из них сбиваются в кучи в камышах, а потом уходят под воду. А английский просветитель XVII века даже предположил, что они просто перемещаются на Луну. На какой вопрос искали ответ эти учёные? ;Куда исчезают перелётные птицы;NULL;0
4;36;-1;В 50-х годах XX века один американский служащий составил список почти из двухсот слов. Это лишь некоторые для примера. Слова незнакомые. Но одно слово, которое было в этом списке, вы точно знаете. Что это за слово, и где работал этот служащий? ;В почтовой службе, собирал неправильные написания слова Chicago;NULL;80000
4;37;1;Один известный педагог давал начинающему ученику такой совет: «Не спеши, представь, что это твоя зарплата. Ты должен не сразу её израсходовать, а распределить на длительное время». У нас за кулисами находится и тот предмет, что был в правой руке ученика, и тот, что был в левой. Что там? ;Скрипка и смычок;Скрипка и смычок;0
4;38;0;ВОПРОС БЛИЦА: Закончите мысль известного бизнесмена Уильяма Ридли: «Если два сотрудника всегда во всём согласны друг с другом, значит одного…». ;…надо уволить;NULL;0
4;39;0;ВОПРОС БЛИЦА: Закончите афоризм Андрея Кнышева: «В искусстве шёл по стопам великих. Поэтому…». ;…и следов не оставил;NULL;0
4;40;1;ВОПРОС БЛИЦА: Что в случае угрозы национальной безопасности приказывал делать своим помощникам Рональд Рейган, даже если он находился на заседании правительства? ;Разбудить его;NULL;0
4;4;1;"Внимание, чёрный ящик!
В чёрном ящике находится предмет, подобный тому, что 2 мая 1943 года был сброшен с самолёта, пролетавшего над Сталинградом. Но снаряд не попал точно в цель, из-за чего пришлось задержать начало одного мероприятия на 20 минут. Что в чёрном ящике? ";Футбольный мяч;Чёрный ящик с футбольным мячом;0
5;41;1;Ромео и Джульетта, Гамлет, Отелло, Король Лир. Специалист по творчеству Шекспира Алексей Бартошевич утверждает, что хронологию появления этих пьес именно в таком порядке можно объяснить психологическими и философскими причинами — мол, Шекспир мудрел. Но, на взгляд Бартошевича, есть и другая причина. Что это за причина?;Актёр, их игравший, старел;NULL;0
5;42;-1;ВОПРОС БЛИЦА: Для чего 20 лет назад в Бельгии выпустили такие часы? ;Для удобного пересчёта с франков на евро;Особые часы;50000
5;43;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  По мнению писателя Нила Геймана «это неуважение по отношению к будущему и настоящему одновременно». Что это? ;Ожидание;NULL;60000
5;44;1;Перед вами карикатура английского художника Джеймса Гилрея начала XIX века. Кого художник уместил на ладони Георга III? ;Наполеон I;NULL;0
5;45;1;Историк моды Александр Васильев: «Шестидесятые годы XX столетия были ознаменованы космическим стилем в моде. Тогда появились пластиковые сапоги для прогулок на Луне. Также появились синтетические ткани вроде кримплена и ткани „Космос“. Шляпы в виде скафандров или шлемов и солнцезащитные очки, напоминающие глаза инопланетян. Французский модельер Андре Курреж ещё в 1964 году использовал этот тренд в своей коллекции. Также в это время был очень популярен предмет, известный ещё с 1958 года. Наша телезрительница попросила его спрятать от вас». На что, с точки зрения Александра Васильева, становились похожи те, кто использовал этот предмет? ;Сатурн;Обруч;0
5;46;-1;В одной из глав древнего трактата упоминаются, например, царь, сидящий на троне, и царские дети, и царицы, старшая и младшая, служанки цариц… Упоминаются там и раскрытые окна, и водосточные трубы, фундамент стены, столбик золотых монет, купольная крыша и дымоход. Чему посвящена эта глава? ;Строение человека;NULL;70000
5;47;-1;Философ Иммануил Кант каждый день старался находить время на прогулки в одиночестве. Рассказывают, что в определённый момент врач посоветовал Канту брать с собой слугу. Что должен был делать слуга во время этих прогулок? ;Беседовать с ним;NULL;230000
5;48;1;На флоте Канады и США корабельный колокол, рынду, в особых случаях используют не по назначению, после чего на рынду наносят чьё-то имя или имена. В качестве чего используют рынду?;Купели;NULL;90000
5;49;-1;"ВОПРОС СУПЕРБЛИЦА: Закончите хокку Мацуо Басё:

    Ты не думай с презреньем: 
    «Какие мелкие семена!» 
    Это ведь… ";…красный перец;NULL;90000
5;50;1;"Внимание, чёрный ящик!
Откроем чёрный ящик! Вопрос снят самим телезрителем.
Что можно сделать с вопросом, но нельзя с чёрным ящиком, несмотря на то, что у чёрного ящика это есть, а у вопроса — нет? ";Поставить ребром;Пустой чёрный ящик;0
5;51;1;В Мумбаи недавно устроили эксперимент: на некоторых перекрёстках установили светофоры, которые при определённых условиях меняют привычный режим работы. В чём особенность этих светофоров, и с какой проблемой пытались бороться городские власти?;Продлевают красный свет при шуме;NULL;0
6;52;-1;В 1972 году Сидни Поллака впервые пригласили снять документальный фильм о том, как певица Арета Франклин записывает новый альбом. За два дня было отснято 20 часов материала, но когда Поллак приступил к монтажу, выяснилось, что смонтировать фильм не удастся, потому что во время съёмок не использовали то, что сейчас находится у нас за кулисами. Что там? ;Хлопушка;Хлопушка;50000
6;53;-1;«Как и любой феномен искусства, они должны, просто обязаны затрагивать нечто хорошо нам знакомое, обыденное, повседневное. Они должны как бы провоцировать наши стереотипные ассоциации и реакции, тут же их опровергать, расшатывать наше сознание». О чём речь?;"О вопросах игры ""Что? Где? Когда?""";NULL;60000
6;54;0;ВОПРОС СУПЕРБЛИЦА: Закончите высказывание из книги психолога Людмилы Петрановской: «Быть взрослым — это значит поступать как считаешь нужным, даже если родители советуют…». ;…то же самое;NULL;0
6;55;0;ВОПРОС СУПЕРБЛИЦА: Какое известное произведение впервые появилось в декорациях к малоизвестной опере «Победа над Солнцем», поставленной в Санкт-Петербурге в 1913 году? ;Чёрный квадрат;NULL;0
6;56;-1;"     Кривое зеркало. Ворона. 
    Злой мальчик. То была она! 
    Талант. Мечты. Дочь Альбиона. 
    Налим. Пари. Кошмар. Жена. 
    Припадок. Пьяные. Задача. 
    Студент. Супруга. Тиф. Враги. 
    Страдальцы. Старость. Неудача. 
    Святою ночью. Сапоги. 

Что стало поводом для написания стихотворения, фрагмент которого вы только что слышали? ";Названия рассказов Чехова;NULL;70000
6;57;1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Что сейчас квадратное мы по-прежнему называем круглым? ;Ринг;NULL;0
6;58;-1;"Вопрос снят самой телезрительницей.
На дорогах Эр-Рияда достаточно много «лежачих полицейских», однако здесь они имеют свою особенность — у них есть специальные прорези. Зачем именно нужны такие прорези в «лежачих полицейских»? ";Для отвода дождевой воды;NULL;80000
6;59;1;"Внимание, вёдра и верёвка!
Участники антарктических экспедиций в процессе подготовки проходят различные тренинги. На одном из них группе выдают вот такие предметы — вёдра и верёвку. Покажите, что участники должны делать с этими предметами и объясните, для чего. ";Надевать их на головы и держаться за верёвку;Вёдра и верёвка;90000
6;60;-1;Приехав в Италию, испанский художник Диего Веласкес решил прославиться и в этой стране. С этой целью он отправил своего слугу в дома к знатным римлянам. Что было в руках у слуги во время тех визитов? ;Портрет слуги Веласкеса;Портрет слуги Веласкеса;90000
6;4;1;Ознакомьтесь с фрагментами одного письма, написанного в 1797 году (я переведу): «Мой дорогой сэр, я стал обузой для моих друзей и стал бесполезным», ещё пара фраз, которые вам знать не надо, далее «Я стану мёртвым для мира. Я уйду, и меня больше не увидят», далее ещё пропускаем, и вот это: «Бог благословит Вас, мой сэр. Поверьте мне, буду обязан и верен», и подпись. Кто написал это письмо? ;Горацио Нельсон;NULL;100000
6;61;0;ВОПРОС БЛИЦА: С какой целью в 2019 году в Японии построили такую железнодорожную станцию с платформой, у которой нет ни входа, ни выхода? ;Для созерцания природы;NULL;0
6;62;0;ВОПРОС БЛИЦА: Перед вами гравюра из «Путеводителя по мировым обычаям» 1873 года. На ней автор Накаганэ Масахира проиллюстрировал одно событие. О каком событии идёт речь? ;Открытие закона всемирного тяготения;NULL;25000
6;63;1;ВОПРОС БЛИЦА: Вот такая наклейка — это то, что птички делают. Какую проблему предложил решать с помощью такой наклейки дизайнер Мотоки Реога? ;Кража велосипедов;NULL;0
6;64;1;"Закончите хокку Мацуо Басё:

    Будто в руки взял 
    Молнию, когда во мраке 
    Ты … ";…зажёг свечу;NULL;0
6;65;-1; «Интервал между машинами, движущимися со скоростью меньше 20 км/ч должен быть 50–60 метров. При движении свыше 40 км/ч — хотя бы 100 метров. Категорически запрещена скорость 35 км/ч». Эти правила движения были разработаны не автоинспекцией, а сотрудниками физико-технического института. Когда были написаны эти правила? ;Для передвижения по Дороге жизни;NULL;250000
7;66;1;Закончите русскую пословицу: «Вверх неволя везёт, а вниз…». ;…вода несёт;NULL;0
7;67;-1;"Вопрос снят нашим корреспондентом.
То, что сегодня уже считается базовым элементом, по мнению американского композитора Скотта Джоплина, появилось из-за проблемы, которая часто возникала в различных клубах в начале XX века. Что это за проблема? ";Песни кончались, и музыканты начинали импровизировать;NULL;50000
7;68;1;"Внимание, три картины!
Перед вами работы одного американского художника. Он всегда детально продумывает композицию, а во время работы использует широкие объёмные мазки. А какой особенностью обладают тюбики с красками, которые использует художник? ";На тюбиках шрифтом Брайля написан цвет;Три картины;0
7;69;-1;Гроссмейстер Александр Котов в своей книге «И в шутку, и всерьёз» рассказал о том, что во время одного турнира он использовал шахматные пешки так, как в своё время использовал их Александр Алехин, но во время домашней тренировки. Так что гроссмейстеры делали с пешками, и по какой причине?;Вставляли в уши, чтобы не отвлекаться на шум;NULL;85000
7;70;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Широкое применение этот предмет одежды нашёл в XIX веке в Европе у врачей, рекомендовавшими заниматься в нём упражнениями. Что это за предмет одежды? ;Свитер;NULL;70000
7;71;1;Перед вами виппефир. Подобные сооружения строили в Норвегии до XVIII века. Что клали в такие металлические корзины? ;Дрова или уголь;NULL;0
7;72;-1;"Внимание, брюки и ботинки!
Некий Гундо Сильва Грин в интервью рассказывал, что во время работы ему иногда приходится надевать брюки и ботинки на руки. Для чего? Кто он по профессии? ";Каскадёр;Брюки и ботинки;230000
7;73;-1;«В мире существует только один совершенный закон, созданный для регулирования одного из родов безрассудства. Закон этот единственный, не допускающий ни исключений, ни послаблений, ни разнообразия, ни тирании». Что именно Франсуа Вольтер назвал «законом»? ;Правила игры;NULL;90000
7;74;1;"Внимание, чёрный ящик!
В чёрном ящике находится изобретение Карла Дреза. Конечно, не пишущая машинка и не велосипед, и даже не самокат, хотя это всё его изобретения. А изобретение XIX века, которое в царской России закупали за рубежом, а с 1926 года, наряду с котлами, утюгами и запчастями для тракторов, стали делать наши мастера. Впоследствии эта вещь перестала быть в советских семьях диковинкой, а сейчас постепенно вновь ею становится. Что же в чёрном ящике? ";Мясорубка;Чёрный ящик с мясорубкой;100000
7;75;-1;ВОПРОС БЛИЦА: Кому может понадобится календарь, который вы видите на экране? ;Призывникам;NULL;100000
8;76;-1;"Внимание, чёрный ящик!
По легенде, то, что сейчас находится в чёрном ящике, придумали в конце XVIII века те, кто носил то, что сейчас находится у нас за кулисами. А придумали они это то ли потому, что у них не было ножа, то ли потому, что у них не было кастрюли. Что там, а что тут? Что тут, а что там? ";Картофель в мундире и мундир;Чёрный ящик с картофелем в мундире и мундир;200000
8;77;1;«Parapet» в переводе с польского — подоконник. А «parapet?wka» — это то, куда вас могут пригласить. Какое событие поляки называют «parapet?wka»? ;Новоселье;NULL;60000
8;78;1;В 1917 году в работе «Государство и революция» Владимир Ильич Ленин писал о том, что первая фаза коммунизма ни того, ни другого дать не может. А разницу между этими понятиями одна благотворительная организация наглядно объяснила при помощи плаката, который вы видите на экране. О каких двух понятиях идёт речь? ;Равенство и справедливость;NULL;0
8;79;1;Учёные калифорнийского университета в Беркли создали абсолютно новый тип амортизирующего устройства, который может быть применён для защиты космических аппаратов от столкновений с космическим мусором, для защиты бортовых самописцев, а также в системе безопасности болидов для удержания головы и шеи гонщиков при аварии. Эти разработки стали возможными благодаря изучению особенностей его строения, которые помогают ему в повседневной жизнедеятельности. Кого изучали учёные? ;Дятел;NULL;0
8;80;-1;"Внимание, голландцы XVII века!
Перед вами фрагменты картин Иова Беркхейде и Адриана ван Остаде. Это лишь два примера, подобные персонажи встречаются на картинах и других голландских художников. Кто по профессии эти люди? ";Пекари;Картины пекарей;60000
8;81;-1;ВОПРОС СУПЕРБЛИЦА: Когда она садится — они встают. Отгадайте загадку. О чём речь? ;Батарейка и часы;NULL;70000
8;82;-1;"Вопрос снят самим телезрителем.
Я — Нестёркин Станислав Викторович, инспектор дорожно-патрульной службы Центрального округа города Москвы. Это было введено с 1 июня 1985 года на основании приказа министра внутренних дел СССР Виталия Васильевича Федорчука «в целях дальнейшего наведения порядка в несении службы, повышения личной ответственности сотрудников Госавтоинспекции за строжайшее соблюдение служебной дисциплины и социалистической законности». О чём речь? ";Нагрудный жетон;Нагрудный жетон;80000
8;83;0;ВОПРОС БЛИЦА: Тюфяк, одеяло, две подушки, пара тарелок, пара ложек, пара вилок и пара чашек, грабли, коса, цепь для молотьбы, петух и курица. Что это за список XIX века? ;Приданное;NULL;0
8;84;0;ВОПРОС БЛИЦА: В Новой Зеландии о них говорят «вибрирующий», в Англии — «спящие», в Испании их называют «шишками», в Канаде — «волнами», а во Франции — «берлинскими подушками». А как их называем мы? ;Лежачие полицейские;NULL;0
8;85;1;ВОПРОС БЛИЦА: Ноль — это ноль. Один — это ноль. Один плюс один — это ноль. Один плюс один плюс один — это один. О чём речь, и в каком случае верным станет, например, последнее утверждение? ;О блице;NULL;0
8;86;-1;Послушайте современное произведение. То, что способствовало появлению этого произведения, вы увидите через одну минуту. Что же это и с чем? ;Салфетка с антисептиком;NULL;90000
8;87;1;"К сожалению, во времена моего детства такого ещё не было, а жаль. Внимание, современное приспособление!
У нас за кулисами находится то, для чего предназначено это приспособление. Что за кулисами? ";Бумажный самолётик;Приспособление для собирания бумажных самолётиков;150000
8;88;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Продолжите китайскую мудрость: если вы не знаете своих детей, посмотрите на их… . ;…друзей;NULL;100000
9;89;1;«Они всегда были для меня лишь предлогом изобразить замечательные ткани и ухватить движение». Кто это сказал и о ком? ;Дега о танцовщицах;NULL;0
9;90;1;"Внимание, Джованни Баттиста Тьеполо!
Перед вами фреска 50-х годов XVIII века. Она украшает потолок парадной лестницы дворца в городе Вюрцбург, Германия. Название этой фрески — «Олимп и четыре…». А почему только четыре? Как звучит полное название этой фрески? ";…части света;Фреска;0
9;91;-1;"Внимание, Го!
Сотрудник одной компании Хара Масахиро любил во время обеденного перерыва поиграть в Го. В 1992 году во время одной партии ему в голову неожиданно пришла идея одного изобретения. Что же он придумал? ";QR-код;Го;700000
9;92;0;ВОПРОС БЛИЦА: С какой целью в этой части парка установили рельсы? ;Для перемещения скамейки;NULL;0
9;93;-1;ВОПРОС БЛИЦА: Телезрители во время путешествия в Нидерланды обнаружили на самой обычной улице необычное приспособление. А у нас за кулисами находится то, для чего оно предназначено. Что же там? ;Мешок мусора;NULL;60000
9;94;1;«К ним прибегают для выражения увеличительных процессов эмоций, ведь тех, кто для нас значит больше других, мы называем…». Закончите парадоксальную мысль Сигизмунда Кржижановского. О чём это он? ;Уменьшительные имена;NULL;0
9;95;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Отгадайте армянскую загадку: «Что такое: конь ускакал, седло осталось?». ;Река и мост;NULL;70000
9;96;-1;"Внимание, чёрный ящик!
То, что сейчас находится в чёрном ящике, как только не используют: из этого можно сделать прочные шнурки, походную чашку, с его помощью можно разжечь костёр и даже, как утверждали авторы одного рекламного плаката 40-х годов, постричь чёлку. Что в чёрном ящике? ";Скотч;Чёрный ящик со скотчем;80000
9;97;1;«Однажды я вернулся в свой трейлер, пробил ногой стену и сказал режиссёру: „Я так больше не могу“». Так актёр Джим Керри вспоминал о съёмках в фильме «Гринч — похититель Рождества». Вот так выглядел герой Джима Керри. Чтобы помочь актёру, продюсер предложил пригласить специалиста из ФБР. В чём заключалась работа этого специалиста? ;Обучить терпению под пытками;NULL;90000
9;98;1;"Вопрос снят нашим корреспондентом вместе с серебряным призёром международного чемпионата «Brilliant Couple» по танго Данилой Богдановичем.
В аргентинском танго есть вот такой элемент. По легенде, изначально женщины выполняли его с определённой целью. Что это была за цель? ";Проверить, есть ли у мужчины деньги;NULL;0
9;99;0;ВОПРОС СУПЕРБЛИЦА: Перед вами нижняя часть карикатуры 1896 года, публикованной в одном журнале, а верхняя часть скрыта. Кто там? Назовите его и её. ;Чехов и чайка;NULL;0
9;100;0;ВОПРОС СУПЕРБЛИЦА: Перед вами карикатура из польского журнала 1929 года. Над чем иронизирует автор? ;Из-за машин люди в будущем разучатся ходить;NULL;0
9;101;1;ВОПРОС СУПЕРБЛИЦА: Перед вами карикатура, скрыта часть надписи на ней. Какой проблеме посвящён этот семинар? ;Аэрофобия;NULL;0
10;102;1;Русский писатель Николай Ядринцев писал: «Он мощен, приземист, олицетворяет как бы коренастость народа. Туго набит, облечён плотной рубашкой, ловок на проход как налим, скользок как конькобежец». О чём это писатель? ;Пельмень;Пельмени;0
10;103;-1;"Внимание, два чёрных ящика!
Кинорежиссёр Дэвид Линч с самого детства не любил, когда что-то ограничивало его. Своей маме он очень благодарен за то, что она, покупая ему то, что находится в маленьком чёрном ящике, никогда не покупала то, что находится в большом. Что в чёрных ящиках? ";Не ограничивала фантазию раскрасками;Чёрные ящики с карандашами и раскраской;200000
10;104;-1;ВОПРОС ТРИНАДЦАТОГО СЕКТОРА:  Русский поэт-сатирик Дон-Аминадо: «Про свинью можно сказать что угодно, кроме того, что она…». Закончите афоризм. ;…притворяется;NULL;60000
10;105;0;ВОПРОС СУПЕРБЛИЦА: Когда они закрыты — они широкие, когда открыты — узкие. Отгадайте мою загадку. ;Шторы;NULL;0
10;106;-1;ВОПРОС СУПЕРБЛИЦА: Отгадайте мою загадку. Несмотря на разность языков, их разговор понятен всему миру. Что это? ;Колкола;NULL;70000
10;107;1;"Внимание, самодельное приспособление!
У нас за кулисами находится то, для чего предназначено это приспособление. Что же у нас за кулисами? ";Саксофон;Особое приспособление;0
10;108;0;ВОПРОС БЛИЦА: Какое средство рекламирует плакат, который вы видите на экране? ;Пятновыводитель;NULL;0
10;109;-1;ВОПРОС БЛИЦА: Что от вас скрыто на фотографии 1949 года, которую вы видите на экране? ;Пузырь жевательной резинки;NULL;80000
10;37;1;В одном из разделов пособия для авторов хокку телезрительница нашла «серебряный бамбук». Что так называют японские поэты?;Сосулька;NULL;0
10;34;1;"Внимание, велосипедный шлем!
Психологи Йенского университета проводили эксперимент, в ходе которого участники играли в покер. Потом на них надевали велосипедные шлемы, и игра продолжалась. Этот эксперимент подтвердил одно предположение учёных. А что нужно сделать вам, чтобы подтвердить предположение этих учёных на примере игры «Что? Где? Когда?»? ";"Сделать ""досрочный ответ""";Велосипедный шлем;0
10;110;-1;Во время Гражданской войны одно из подразделений Красной армии проводило разведку, используя необычную конструкцию. К железнодорожной платформе прицепили дрезину, вывели на вершину подъёма и пустили под уклон, чтобы этот своеобразный поезд развил скорость более 60 км/ч. Что разместили на платформе, и для чего всё это сделали?;Аэроплан, чтобы он мог взлететь;NULL;90000
